crop_id,botanial_name,botanical_family,botanical_family_en,culinary_use,wikipedia_en_url,temp_c_min,temp_c_max,temp_c_opt,ph_min,ph_max,ec_ms_min,ec_ms_max,height_cm_min,height_cm_max,spread_cm_min,spread_cm_max,maturity_days_min,maturity_days_max,temp_c_opt_day,temp_c_opt_night,temp_c_opt_day_min,temp_c_opt_day_max,temp_c_opt_night_min,temp_c_opt_night_max
watermelon,Citrullus lanatus,Cucurbitaceae,Gourd family,Fruit,https://en.wikipedia.org/wiki/Watermelon,,,,,,,,300,300,40,40,120,120,,,,,,
strawberry,Fragaria Ã— ananassa,Rosaceae,Rose family,Fruit,https://en.wikipedia.org/wiki/Strawberry,18.3,23.9,21.1,5.5,6.5,0.8,1.4,20,25,25,35,150,150,,,,,,
cucumber,Cucumis sativus,Cucurbitaceae,Gourd family,Fruiting Veg,https://en.wikipedia.org/wiki/Cucumber,20.0,25.5,,5.5,6.0,2.2,2.7,200,300,70,100,90,150,,,,,,
zucchini,Cucurbita pepo,Cucurbitaceae,Gourd family,Fruiting Veg,https://en.wikipedia.org/wiki/Zucchini,,,,,,,,,,,,,,,,,,,
eggplant,Solanum melongena,Solanaceae,Nightshade family,Fruiting Veg,https://en.wikipedia.org/wiki/Eggplant,,,,,,,,100,100,50,50,150,150,,,,,,
pepper,Capsicum annuum,Solanaceae,Nightshade family,Fruiting Veg,https://en.wikipedia.org/wiki/Capsicum_annuum,15.5,26.0,,,,,,50,150,45,80,120,165,,,,,,
tomato,Solanum lycopersicum,Solanaceae,Nightshade family,Fruiting Veg,https://en.wikipedia.org/wiki/Tomato,14.0,26.0,,5.5,6.5,2.0,5.0,30,300,45,60,120,165,,,,,,
chives,Allium schoenoprasum,Amaryllidaceae,Amaryllis family,Herb,https://en.wikipedia.org/wiki/Chives,18.3,26.7,21.1,6.1,6.5,1.8,2.2,,,,,,,,,,,,
coriander,Coriandrum sativum,Apiaceae,Parsley family,Herb,https://en.wikipedia.org/wiki/Coriander,10.0,26.7,18.3,5.5,6.5,1.2,2.0,,,,,,,,,,,,
dill,Anethum graveolens,Apiaceae,Parsley family,Herb,https://en.wikipedia.org/wiki/Dill,,,,,,,,,,,,,,,,,,,
parsley,Petroselinum crispum,Apiaceae,Parsley family,Herb,https://en.wikipedia.org/wiki/Parsley,12.8,26.7,21.1,5.5,6.5,1.4,2.4,,,,,,,,,,,,
basil,Ocimum basilicum,Lamiaceae,Mint family,Herb,https://en.wikipedia.org/wiki/Basil,18.3,32.2,23.9,6.2,6.8,1.6,2.2,,,,,,,,,,,,
mint,Mentha spicata,Lamiaceae,Mint family,Herb,https://en.wikipedia.org/wiki/Spearmint,12.8,23.9,21.1,6.5,6.5,2.2,2.6,,,,,,,,,,,,
oregano,Origanum vulgare,Lamiaceae,Mint family,Herb,https://en.wikipedia.org/wiki/Oregano,12.8,26.7,21.1,5.5,6.5,1.5,2.0,,,,,,,,,,,,
rosemary,Salvia rosmarinus,Lamiaceae,Mint family,Herb,https://en.wikipedia.org/wiki/Rosemary,15.6,26.7,23.9,5.5,6.5,1.2,1.8,,,,,,,,,,,,
chard,Beta vulgaris subsp. cicla,Amaranthaceae,Amaranth family,Leaf/Stem,https://en.wikipedia.org/wiki/Chard,12.8,23.9,18.3,5.5,6.5,1.6,2.3,20,40,30,45,60,60,,,,,,
spinach,Spinacia oleracea,Amaranthaceae,Amaranth family,Leaf/Stem,https://en.wikipedia.org/wiki/Spinach,15.5,24.0,,5.6,6.0,1.4,2.0,15,25,15,30,60,60,24.0,19.0,,,,
fennel,Foeniculum vulgare,Apiaceae,Parsley family,Leaf/Stem,https://en.wikipedia.org/wiki/Fennel,12.8,23.9,18.3,5.5,6.5,1.0,1.8,70,70,40,40,90,90,,,,,,
lettuce,Lactuca sativa,Asteraceae,Daisy family,Leaf/Stem,https://en.wikipedia.org/wiki/Lettuce,7.2,24.0,18.3,5.6,6.0,1.0,1.5,15,30,25,45,30,60,,,,,,
arugula,Eruca vesicaria,Brassicaceae,Mustard family,Leaf/Stem,https://en.wikipedia.org/wiki/Eruca_vesicaria,10.0,23.9,18.3,6.0,6.5,0.8,1.2,7.5,7.5,15,15,50,50,,,,,,
bokchoy,Brassica rapa subsp. chinensis,Brassicaceae,Mustard family,Leaf/Stem,https://en.wikipedia.org/wiki/Bok_choy,12.8,23.9,18.3,6.0,6.5,1.5,2.5,,,,,,,,,,,,
brusselssprout,Brassica oleracea var. gemmifera,Brassicaceae,Mustard family,Leaf/Stem,https://en.wikipedia.org/wiki/Brussels_sprout,,,,,,,,70,70,60,60,210,210,,,,,,
kale,Brassica oleracea var. acephala,Brassicaceae,Mustard family,Leaf/Stem,https://en.wikipedia.org/wiki/Kale,7.2,29.4,18.3,6.0,6.5,1.8,2.5,50,75,50,75,90,150,,,,,,
mustardgreens,Brassica juncea,Brassicaceae,Mustard family,Leaf/Stem,https://en.wikipedia.org/wiki/Brassica_juncea,10.0,23.9,18.3,5.5,6.5,1.2,2.4,,,,,,,,,,,,
savoycabbage,Brassica oleracea var. sabauda,Brassicaceae,Mustard family,Leaf/Stem,https://en.wikipedia.org/wiki/Savoy_cabbage,,,,,,,,,,,,,,,,,,,
bean_bush,Phaseolus vulgaris,Fabaceae,Legume family,Legume,https://en.wikipedia.org/wiki/Phaseolus_vulgaris,,,,,,,,25,80,10,45,60,70,,,,,,
bean_pole,Phaseolus vulgaris,Fabaceae,Legume family,Legume,https://en.wikipedia.org/wiki/Phaseolus_vulgaris,,,,,,,,200,200,80,80,60,70,,,,,,
broadbean,Vicia faba,Fabaceae,Legume family,Legume,https://en.wikipedia.org/wiki/Vicia_faba,,,,,,,,50,50,80,80,90,90,,,,,,
pea,Pisum sativum,Fabaceae,Legume family,Legume,https://en.wikipedia.org/wiki/Pea,,,,,,,,50,120,50,80,60,70,,,,,,
onion,Allium cepa var. cepa,Amaryllidaceae,Amaryllis family,Onion,https://en.wikipedia.org/wiki/Onion,,,,,,,,30,40,35,35,150,150,,,,,,
beet,Beta vulgaris subsp. vulgaris,Amaranthaceae,Amaranth family,Root,https://en.wikipedia.org/wiki/Beta_vulgaris,,,,,,,,25,80,20,35,70,70,,,,,,
carrot,Daucus carota subsp. sativus,Apiaceae,Parsley family,Root,https://en.wikipedia.org/wiki/Carrot,,,,,,,,25,30,30,35,60,150,,,,,,
radish,Raphanus sativus var. sativus,Brassicaceae,Mustard family,Root,https://en.wikipedia.org/wiki/Radish,,,,,,,,10,30,20,20,35,35,,,,,,
potato,Solanum tuberosum,Solanaceae,Nightshade family,Root,https://en.wikipedia.org/wiki/Potato,,,,,,,,,,,,,,,,,,,
